ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901003297806164   67.6346114363  -64.1679146821 17.83 5
901003297902210   68.0563459608  -64.1989159708 16.97 7
901003297902244   68.0577278548  -64.1829482673 17.20 7
901003297906488   68.1923263316  -64.1481301550 17.97 5
901003298017269   69.0933584058  -64.1868215521 17.78 5
901003360709225   66.5637481186  -64.0741808334 16.89 7
901003361000408   67.9304844215  -63.9327598344 17.30 6
901003361014894   68.4255095455  -63.8781798915 17.75 5
901003361113594   68.9671731080  -64.1132428338 17.54 5
901003361114664   69.0045806350  -64.0039337232 16.94 7
901003361313604   70.0207766273  -64.0161021725 17.58 5
901003361318812   70.1687959846  -63.9607863281 17.65 5
901003424211550   65.7162394624  -63.8243604052 17.15 7
901003424302733   65.9156354756  -63.7523583147 16.73 7
901003424309787   66.1967633757  -63.8475579594 17.33 6
901003424407277   66.6377806837  -63.8672217351 16.61 7
901003424414640   66.9237546933  -63.7242486574 17.30 6
901003424511232   67.3879961160  -63.7849530364 17.31 6
901003424512723   67.4459798387  -63.6535217160 16.67 7
901003424600789   67.5238697208  -63.8084243406 17.17 7
901003424603106   67.6149025753  -63.8131305569 17.33 6
901003425016773   70.2642620741  -63.6626445550 17.53 5
901003425106964   70.5165348130  -63.7669037835 17.80 5
901003488007451   63.8826302563  -63.5477070089 17.09 7
901003488309301   65.5856427893  -63.4858564256 16.67 7
901003488503535   66.4544259372  -63.3941490005 17.47 6
901003488610199   67.2602447172  -63.5154665058 17.02 7
901003488614246   67.4083570506  -63.5061129168 17.55 5
901003489004009   69.2350868022  -63.3827889807 17.54 5
901003489308073   70.9989680775  -63.6036955332 17.49 6
901003489313707   71.1610586587  -63.5960046423 17.25 6
901003489418595   71.8239835823  -63.3866091298 17.35 6
901003552610140   63.4193503794  -63.3582198430 16.66 7
901003552701900   63.5763696742  -63.1479476691 17.62 5
901003553108963   66.1013939668  -63.3444535389 16.82 7
901003553300133   66.8105519185  -63.3746717536 16.97 7
901003553600830   68.4929865529  -63.1271841915 17.83 5
901003553613469   68.9639991712  -63.1922640889 17.36 6
901003554008947   70.9465159399  -63.3163709808 16.84 7
901003554214979   72.1892062030  -63.2361709118 17.43 6
901003554220178   72.3295883746  -63.2318423757 16.82 7
