ROWID  RA DEC PSFMAG_R
901003298005836   68.7441477394  -64.2009512856 13.89
901003360507660   65.4017040426  -63.9787869943 13.44
901003360603141   65.7789432738  -63.9030928147 14.08
901003360610863   66.0858075715  -64.0334390164 14.26
901003360612588   66.1573437350  -64.1023262742 13.99
901003360702074   66.3006538540  -63.9671413586 14.10
901003360702548   66.3198060724  -64.0074107244 14.24
901003360705013   66.4173491950  -64.0239339406 14.18
901003360707737   66.5088698337  -64.1083648158 13.72
901003360709027   66.5559263585  -63.9500123045 13.96
901003360815436   67.3490281504  -63.9086038877 13.92
901003360902399   67.4360948153  -64.0062321905 14.28
901003360907780   67.6271626804  -64.0603785282 14.19
901003360911477   67.7649787563  -64.1209857350 14.09
901003361003009   68.0215212762  -63.8771709482 13.64
901003361003830   68.0486763972  -64.0338535917 14.31
901003361007678   68.1831300863  -64.0814961258 14.26
901003361101612   68.5362654608  -63.9955739184 13.56
901003361104273   68.6235587558  -64.0621191739 13.66
901003361109451   68.8105976041  -63.9491622886 14.32
901003361214387   69.5227024067  -63.9248127160 13.51
901003361215237   69.5492529493  -64.0460534922 13.76
901003361217579   69.6220920161  -63.8795606363 14.27
901003361308816   69.8823077320  -64.0845765487 14.34
901003361311405   69.9570997924  -64.0607268524 14.10
901003424004246   64.3329835392  -63.6799960555 14.38
901003424007962   64.5121429985  -63.7442022307 13.94
901003424008597   64.5411995467  -63.7443377914 14.28
901003424113253   65.2138864404  -63.8368402292 13.64
901003424202359   65.3490438230  -63.6261535528 13.96
901003424203229   65.3869519656  -63.7586316074 14.05
901003424307894   66.1218296849  -63.6690620170 13.74
901003424309297   66.1761467844  -63.6967073192 14.05
901003424311389   66.2614607685  -63.8698818217 14.09
901003424401886   66.4351666385  -63.8334899093 14.17
901003424403251   66.4860598840  -63.7361814970 13.73
901003424501178   66.9814844369  -63.8614950789 13.88
901003424501660   67.0020576065  -63.7861596818 14.22
901003424502192   67.0219740127  -63.6468472812 14.33
901003424508898   67.2950130534  -63.6724695136 13.82
901003424512005   67.4189349017  -63.8587366604 14.25
901003424513322   67.4706142207  -63.6511711120 14.24
901003424602112   67.5744981484  -63.8555056940 14.04
901003424607112   67.7663625824  -63.6310335304 13.47
901003424705363   68.2603937572  -63.7111178063 14.27
901003424709059   68.3970594574  -63.8175342377 13.79
901003424710930   68.4632812188  -63.7197882698 14.26
901003424714975   68.6041701615  -63.6909479324 13.92
901003424801464   68.6632558265  -63.7636589978 13.59
901003424804344   68.7559672927  -63.7677904204 14.22
901003424808261   68.8920742016  -63.6252195032 13.73
901003424811638   69.0115837989  -63.6456957930 13.48
901003424812210   69.0336728023  -63.6557135265 13.97
901003424901858   69.2499547075  -63.6357441347 13.87
901003424909731   69.5091353165  -63.6832019936 13.43
901003424915184   69.6864892577  -63.7790918834 14.24
901003425008839   70.0196499401  -63.7348349956 14.09
901003425014909   70.2080771757  -63.6838836056 13.51
901003425103177   70.3985522524  -63.8454252608 13.67
901003425105493   70.4698475507  -63.8496891580 13.84
901003425208692   71.0982337778  -63.7743873709 13.95
901003425211845   71.1859198452  -63.7566099771 14.20
901003425219243   71.3823463105  -63.6587669574 14.07
901003425220424   71.4120272230  -63.7116082170 14.12
901003425303651   71.5171312569  -63.6751548894 13.71
901003488008319   63.9233034272  -63.5802295744 14.35
901003488011925   64.0754980568  -63.4193439834 14.14
901003488101158   64.1353741617  -63.4994308416 13.95
901003488101736   64.1602211248  -63.5557554243 13.60
901003488101962   64.1696457997  -63.5444715459 13.78
901003488105952   64.3479333541  -63.4096530019 14.18
901003488110306   64.5440235253  -63.4313248678 14.26
901003488111651   64.6008273994  -63.5262925550 13.70
901003488201145   64.6884775611  -63.4032085977 14.09
901003488212409   65.1738158646  -63.6018959310 14.38
901003488301977   65.2733798481  -63.5441766557 14.25
901003488302895   65.3113917907  -63.6132516265 14.04
901003488312021   65.6951553690  -63.5277267283 13.78
901003488409140   66.1228835910  -63.4375942388 14.15
901003488500661   66.3392944090  -63.5209435590 13.68
901003488506454   66.5671925271  -63.4840165595 14.38
901003488507342   66.5991639896  -63.5905815179 13.71
901003488601316   66.9214156073  -63.4540786096 13.78
901003488607804   67.1715063723  -63.5762557320 14.02
901003488609435   67.2308617055  -63.3760251345 14.13
901003488610948   67.2885682938  -63.5861637663 13.52
901003488613175   67.3675256827  -63.5294218789 13.74
901003488701682   67.4923243673  -63.5427082475 14.44
901003488701943   67.5023017234  -63.4356960014 14.23
901003488702638   67.5281088994  -63.5629924174 13.42
901003488708280   67.7501343173  -63.4854969550 14.24
901003488710425   67.8340170080  -63.3842407790 14.11
901003488712679   67.9183096254  -63.4706865062 14.05
901003488801186   68.0266475896  -63.4272239025 14.34
901003488802379   68.0696621768  -63.4390572664 13.56
901003488802618   68.0782753917  -63.4812477741 14.19
901003488907642   68.7869135992  -63.5661949356 14.42
901003488909487   68.8524660390  -63.6109829268 14.32
901003488910638   68.8918842810  -63.4549823861 13.86
901003489111206   70.0019122867  -63.3815225665 13.73
901003489209907   70.5051169434  -63.5867840070 13.98
901003489214285   70.6361344759  -63.5655475023 14.21
901003489218535   70.7632643158  -63.5305187637 13.45
901003489311360   71.0945620479  -63.5262674327 13.75
901003489314912   71.1954874948  -63.4009858829 14.19
901003489401066   71.3505899055  -63.4094638658 13.40
901003489503732   71.9683688107  -63.4531619540 14.35
901003552607048   63.2719922550  -63.1605649708 13.89
901003552702192   63.5897082415  -63.2773440553 13.93
901003552708946   63.9356712159  -63.3571016293 13.50
901003552803302   64.2131476029  -63.1368342271 13.80
901003552804271   64.2636784299  -63.3211649842 13.97
901003552806520   64.3736143406  -63.3357903856 13.84
901003552900304   64.6119533823  -63.2021699502 13.99
901003552902668   64.7240066312  -63.1517191210 13.52
901003552903512   64.7663596505  -63.2832103270 13.51
901003552905392   64.8545124117  -63.3598952993 14.30
901003552905755   64.8709755550  -63.2121801608 14.17
901003552908974   65.0332990118  -63.1624454564 14.25
901003552910666   65.1146732645  -63.1813873809 13.55
901003553000451   65.1696314677  -63.1559902903 13.58
901003553101422   65.7612533476  -63.2828831106 13.64
901003553102173   65.7942798229  -63.1888281974 14.19
901003553102804   65.8211962796  -63.2602049285 14.26
901003553105126   65.9207712523  -63.1728279521 14.09
901003553107694   66.0436900191  -63.1928371596 13.96
901003553108742   66.0923455246  -63.1571382369 13.66
901003553205359   66.4783112538  -63.2541317413 14.38
901003553207290   66.5631811121  -63.3015198839 13.73
901003553213008   66.8055096398  -63.2655283199 13.51
901003553301298   66.8562136019  -63.1842671840 14.18
901003553305997   67.0417992061  -63.3695636616 13.50
901003553401566   67.4115168086  -63.2766113887 14.19
901003553403758   67.4935096152  -63.3410923284 13.83
901003553406104   67.5865093225  -63.3164638975 13.60
901003553411925   67.8097276801  -63.2178523526 13.83
901003553412543   67.8345166958  -63.1399096157 13.95
901003553601201   68.5071254544  -63.3016794757 14.23
901003553602415   68.5535297211  -63.3334820754 13.81
901003553603089   68.5768856447  -63.3335524145 13.73
901003553604073   68.6119772968  -63.2656178438 13.81
901003553605814   68.6731273065  -63.3033507652 14.28
901003553702943   69.1168557555  -63.2693802165 14.03
901003553703171   69.1251830434  -63.3656282142 14.24
901003553703519   69.1373592679  -63.3194009041 14.26
901003553703759   69.1461192165  -63.2171813747 14.42
901003553804113   69.6952465638  -63.1501542486 14.00
901003553900739   70.1402345447  -63.2931217057 13.74
901003553900889   70.1451219576  -63.3638984564 13.57
901003553910749   70.4342005475  -63.1553364274 14.10
901003553913852   70.5289787505  -63.2263545695 14.28
901003553916954   70.6224654503  -63.3321326132 13.66
901003554003485   70.7808803687  -63.3432330232 13.59
901003554014908   71.1166660259  -63.1491146044 13.65
901003554014998   71.1195841072  -63.2436229139 13.64
901003554104845   71.3641905101  -63.3728330189 14.03
901003554106663   71.4141927632  -63.3567241110 13.77
901003554110299   71.5221678424  -63.1353487733 13.47
901003554111708   71.5623616649  -63.3625582253 14.34
901003554117521   71.7226987853  -63.1405836661 14.32
901003554119044   71.7658065827  -63.1827790969 14.09
901003554200916   71.7952997232  -63.2741253540 13.86
901003554208979   72.0231396188  -63.2252351242 14.21
901003554305328   72.4531551456  -63.1308728348 13.63
901003617910091   63.4277061286  -62.8853765843 14.08
901003617910255   63.4363976004  -63.0787600454 14.26
901003617910340   63.4398733155  -62.9433971084 13.49
901003618000509   63.4856895582  -62.9756087469 13.43
901003618004176   63.6524940382  -63.0461093571 14.28
901003618004214   63.6543758386  -62.9460578876 13.71
901003618005984   63.7369148660  -63.1094052771 14.22
901003618006777   63.7763753847  -63.0786256097 14.35
901003618009869   63.9261703311  -62.9520823036 14.28
901003618200355   64.5715083346  -63.0576754382 14.07
901003618207306   64.8994151833  -62.9766392988 14.12
901003618209479   64.9854161229  -63.1244202009 14.18
901003618306250   65.3870237472  -63.0732033987 14.25
901003618308987   65.5168085579  -62.9637824574 14.04
901003618404672   65.8485476931  -62.9618636233 13.48
901003618406566   65.9335470949  -62.9978348689 13.61
901003618501513   66.2628514013  -62.9714409969 13.66
901003618609451   67.1333288899  -62.8869068308 14.02
901003618702967   67.4021031639  -63.0953685436 14.01
901003618709378   67.6486266603  -63.0846132347 14.22
901003618710674   67.7006506265  -62.9109748976 14.35
901003618712148   67.7523818207  -63.0746673678 14.27
901003618801962   67.9118765020  -62.9913370806 13.68
901003618803608   67.9780796501  -62.9159403466 14.14
901003618902676   68.5058048198  -63.0371840441 13.99
901003618904919   68.5896863015  -63.0488550262 14.65
901003618910253   68.7919943663  -62.9431403569 14.14
901003618911877   68.8501737482  -62.9276165449 13.68
901003618914098   68.9298292090  -63.0144537913 14.23
901003619000303   68.9415703231  -63.0069646002 13.88
901003619000572   68.9520704977  -63.0873093088 13.94
901003619002680   69.0271588994  -62.9904113320 14.20
901003619105504   69.6759966386  -63.0448712442 14.11
901003619106589   69.7143070627  -63.1046993928 13.50
901003619114762   70.0163958111  -63.1001296839 13.55
901003619201375   70.0705120481  -62.9664391680 14.06
901003619212382   70.4374234492  -62.8864414380 13.77
901003619212536   70.4428480741  -63.0953350977 14.23
901003619213520   70.4759253988  -63.0296658585 14.23
901003619306106   70.7401352533  -63.0781041672 13.70
901003619308550   70.8142088015  -62.9973767697 14.33
901003619308987   70.8286079820  -62.8916377176 14.38
901003619314242   70.9830335636  -63.0277153542 14.37
901003619402389   71.1901475292  -63.0501013518 13.47
901003619415850   71.5965554434  -62.9123705141 13.46
